id,clean_text,sentiment
qkWdc-E6jGI_4,end consuming youre exactly sure going charged,0
188122_10,umm umm and also stars umm bob newhart,0
79935_4,it bad,0
92521_7,but uhh acting abilities mostly mostly eye candy umm yeah pretty bad movie id stay away,0
252912_10,it made sick stomach,0
d-Uw_uZyUys_7,for seven years served united states army which seven years ever fact conveniently omitted intro james,0
YLA7h1RTa9w_12,do good,0
266938_19,mainly lady in water atrocity the happening even worse,0
cW-aX4dPVfk_31,so thats thoughts cinderella,0
5OLO6zEbrVw_4,its racebased practice racebased theory,0
Jz1oMq6l-ZM_0,in early relator frank smith approached prior firm another lawsuit time also raised concerns issue happening work something happening astellas pharmaceutical company worked,0
46604_0,im uhh sitting trying figure ive ever seen wesley snipes movie enjoyed,0
126831_8,umm really wasnt great,0
243338_25,but movies great okay,0
271366_41,do waste money,0
3aD0xAgxxyw_11,it feels like action sequences little stretched probably could trimmed movies length minutes shorter,0
273237_6,this movie absolutely comedy compared obviously theyre trying go young audiences young adults theyre going sexuality course,0
hfVXx8hfKak_9,if internet causing stumble looking pornography got throw computer away get rid internet lot people using internet evil wickedness,0
273250_4,the premise really good way shape form,0
ai7G98thPpk_1,after first three days asked leave school couldnt speak english,0
37459_3,umm its scifi movie confusing choppy umm kind corny,0
267278_17,in reality really feel movie like yeah umm par stupid saturday night live sketches,0
259470_7,this movie though movie absolutely awful,0
88791_7,umm action stutter movies usually action,0
278474_6,uhh its stutter sad say mean know watched curiosity see going stutter uhh stutter really bad story thats,0
224263_8,completely unsatisfied movie,0
GcfETVXgtg0_6,hostingcom provided shared san offering thats allowed us get good priceperformance application hosting services provided,0
ctMCSUT2LlQ_0,desegregation buses,0
200941_4,there stutter wasnt many funny parts movie funny parts actually already seen cause commercials,0
267255_8,so uhh its so like like stutter like hes like trying help marriage,0
284673_10,he irish accent far away dont understand couldnt german accent,0
270416_6,simpson,0
261900_22,and especially father sails away science experiments leaves nim,0
oWAyEzyp2xQ_8,you dont right seek information information isnt allowed come existence first place,0
RRKez9BR-94_13,you bang spreadsheet hammer every data problem find,0
OORklkFql3k_11,he said negotiations united states nuclear issue nothing else and three days ago made clear,0
268836_30,in one like stupid,0
270444_7,so know youre youre stutter hellboy fan youll probably like actually youre general viewer highly doubt youll enjoy dont really connection good,0
0r8KVXUCV6c_11,are wicked lukewarm christian fellowship ungodly people proclaim jesus stand truth,0
-dZ1TCboxcQ_2,joint mechanism preventing misunderstandings forces also agreed,0
250430_6,umm it keeps get tired kind keep repeating see different vantage points,0
112169_3,hes back umm yeah disappointed film umm im pretty big harry potter fan enjoyed fourth movie pretty yeah enjoyed fourth movie umm movie would give ten fingers,0
79644_5,umm dont dont stutter know might like might didnt really think know dont think bill murrays standards umm try might think differently,0
224370_5,usually im big nicholas cage fan time completely missed mark,0
106941_6,but umm yeah felt rehashed,0
3DOrdP4H8SA_8,it take big deep breath prepare theres going heartbeat today,0
244623_9,pretty cheesy,0
7rMLN0KKE5k_1,today november time guys see itll exactly week since us election,0
273531_12,umm and kind classic umm bad horror film,0
254298_16,but umm sort waste time money,0
pVs1daijYTw_1,nuclear test dprk conducted last month subsequent ballistic missile launches provocative threatening violation united nations security council resolutions,0
5qQs9Cfydo4_9,we should look at this holistically and if possible try to have open debates with people with differences and not look at our biases and just turn them into animosities,0
266396_29,you dont,0
jVayR0VClxQ_6,the reason blocked sin,0
96350_3,this terrible movie,0
257534_6,and uhh tell movie already completely ridiculous something want watch,0
98442_2,umm really familiar kurt russell outside tv movies id seen tnt tbs taken clue movies uhh lead actor carry role,0
254298_14,umm the girl wasnt even like attractive,0
225768_14,so far one goes would say definitely uhh leave shelf,0
JDgqyOkzXHw_5,think big part republican wanting smaller government role,0
fT6SrlsWV7M_12,evidence pursue insider traders matter chairman board junior staff,0
261900_38,and definitely youre adult dont go prepared believe everything,0
kpS4BXif_Sw_11,and indeed united states stand international community affirming costs military intervention ukraine,0
92533_4,umm the story uhh par acting pretty lackluster,0
NVlxq3jxlAk_14,graham cassidy offered absolutely nothing substance debate,0
256935_14,cough theres really like didnt stutter catch much plot like theres like umm theres little plot thats stupid,0
FSGL5K2EEdo_2,were proud structure weve created participatory governance,0
rFHIApgUtoI_5,these journals based quotes find quote really kinda speaks tear right write one four journals evening commercial breaks upload moodle course,0
273237_3,it like movie reminds stutter almost exactly like american pie band camp american pie naked mile except ten times worse fact theaters straight dvd straight trash,0
ooAF6I-fmTg_7,or one christians utter hypocrite believe god dead,0
c9hE1ghElrM_3,some common side effects epogen include nausea vomiting fever tiredness,0
A8plGi4rbxM_0,in last days iran shown cant trusted,0
214095_11,umm dont see movie,0
24202_3,it horrible ripoff the lord the rings,0
cEXJ2zFbC9I_5,and tragedy wiped arent going able participate puerto rican bond debt recovery puerto rico recovery returns,0
ex-dKshlXoY_11,theres still groups people youre gonna reach much effectiveness line line,0
215259_7,but overall uhh kinda disappointed,0
59333_3,ive never able watch full episode im kind like uhh thats im like,0
96350_6,okay lets lets stutter spend tenthousand dollars honda toyota something sounds like youre go mow yard,0
88791_11,umm stutter would never watch,0
271598_4,so basic premise movie follows kevin costner plays character sort uhh lame sort loser,0
282586_11,she goes new school shes fitting,0
236399_2,umm thought great,0
24196_15,but said stutter havent feeling rocky movies late wouldnt waste time seeing,0
3MFNIag0wNE_5,ts obviously little late feel need,0
1knHBRVPoYQ_5,showing unborn baby ass gets kicked,0
7rMLN0KKE5k_18,sighs but thats ended,0
xge9aYTxxOA_10,female speaker this domino pizza advertisement dont like,0
aFjMWlR1QAY_8,nd divorce moved several hours away moved apartment building alone,0
102408_8,umm dont know kind boring,0
266791_23,as youre watching movie looks like theyre actually looking cue cards reading words first time thats delivery,0
298736_2,and tell umm one harry potter fans,0
273314_8,umm about people la ive lost im gonna say,0
87161_11,uhh special mention uhh ethan ambreys acting movie,0
46615_6,didnt enjoy watching theres special features,0
243341_10,seriously terrible terrible,0
273237_2,it doesnt even matter anymore movie absolutely terrible,0
EO_5o9Gup6g_16,in fact one reason earlier stimulus programs result private sector growth large amounts went public sector,0
214095_13,umm its incredibly predictable carlos mencia steals jokes,0
139032_4,dont think good space know movies felt production really cheap umm stutter didnt really believe whole spaceship full people never umm showing like stutter gravity scenes majority problem though,0
EO_5o9Gup6g_19,the temptation something anything proactive attempt stimulate economy history shown us governments cannot spend way prosperity,0
245276_0,okay expotv dvd review really bad,0
275620_5,this movie uhh tries funny,0
238023_10,but umm dont want think could hate anymore,0
273314_7,it maybe steve martin umm movie cant think called grand canyon anyway,0
243341_20,giving review makes mad movie,0
JdFaSggG58c_5,do get upset others dont act way think act,0
h7p5URoookk_5,and um made really sad,0
pfCPogxnUfw_19,so couple relapses wasnt last jail trip ii always say surrendered really didnt,0
zrFZAofNGi4_2,it didnt matter tall short beautiful ugly,0
AepwIhSbAws_2,realized way survive remain compound long possible dutch,0
266938_32,but even dont go see dont even see satire worth,0
KI2sU-mhM44_16,view democrats committed getting cost college means student loans whove already got means cost going forward anybody going college,0
rwe-hBNpzH8_0,arty get hijacked extremists put donald trump president,0
pSxte-ms0t8_8,they think anything want long promise make bad men go away,0
119348_11,and like four seasons something every episode good,0
192799_12,suddenly robin williams takes movie like wow hes boring hes funny like,0
112169_13,would recommend instead read book,0
220548_21,dont like movie uhh im sick talking quite frankly kind movie style umm kind movie like know im sure youll love movie,0
75938_4,but yeah also movie isnt good,0
73447_7,it felt like looking harry potters little map magic map people walking around set whole movie,0
faMq0C_wTpU_5,heres also rules individual live maintain property always also pay taxes always well,0
111881_2,disappointed,0
zrFZAofNGi4_0,when went countries treated like garbage less humans,0
Gljee9uq_Rc_21,in fact posed subjects told stand arranged carefully maximum impact,0
136215_2,nancy drew honest really didnt like,0
108793_18,maybe four,0
5vwXp27bCLw_14,he specifically said policies going aimed make sure speculators dont benefit people bought homes could afford also going benefit bailout,0
89787_1,this two disc special edition,0
266938_9,umm know people rooting,0
72017_7,uhh this directed francis ford coppola,0
131871_8,uhh personally thought movie plot kind lacking wasnt fulfilling eyes,0
275267_3,hes former umm rock singer whatever hes really actor either,0
121400_1,uhh like movie would recommend,0
38019_3,umm know lot people loved lot people think im crazy enjoying wasnt kind film,0
hvfaYsv7p8E_8,so isnot cant questions cant concerns respond defensively,0
juI9KoLA87A_3,nd first really concerned like patient crying,0
80866_9,its kinda weird wanna laugh dont,0
237009_5,umm think thought could probably put another one together umm personal opinion think failed miserably know againthats opinion,0
3Wi0if_L6Ug_5,the idea travelling long distances appeal particularly family life studies,0
267252_16,but uhh like scary doesnt really freak nike huarache youre looking go see scary movie see stutter movie,0
YRbtXb9fWmI_7,and grade going bad,0
h1ZZHUU4j0k_13,or we dont like arent people coming youtube social channels wed like,0
7rMLN0KKE5k_30,we may able change results election make sure books create empathy,0
5YnYGjrhzF4_5,our physician gives us perhaps medications says know rest take easy,0
266938_36,night shyamalan got get back track need another signs need another sixth sense need another unbreakable,0
KZzFCrEyKF0_11,but would like see channel marketing mix contributes effective think would key,0
87161_8,not exciting stuff,0
234046_18,umm maybe rent definitely wouldnt buy,0
OJwO6g01qO8_12,even coming smile kind intimidating,0
g8Cl74tS3oY_2,while first time considered threat defunding corporation public broadcasting never real,0
135623_9,umm so scale like one five think id give like two honestly,0
262165_5,he uhh lifted uhh large elements plot,0
139032_10,didnt even end movie like sigh relieved movie done know,0
lkeVfgI0eEk_7,yeah think thats form child abuse,0
pfCPogxnUfw_6,guess trauma you know always liked around boys didnt want touch,0
268836_23,uhh mark wahlberg terrible terrible actor,0
260011_11,umm but movie good,0
267255_13,really dont like mike myers much,0
206051_14,so unfortunately give zero ten,0
282560_13,when hes uhh bad unreadable,0
s1Yo_MCiMPc_12,for think need look carefully funding given families build houses,0
271598_29,they didnt satirize stutter anything sufficient degree,0
Q7S0tX4FUNA_8,theyre fleeting deepseated theyre difficult measure,0
248837_9,but dont know im giving one five stars movie,0
34346_13,mean takes robin williams shows hes going slowly descend abyss things ive seen ropes conspiracy,0
266396_80,and,0
236696_10,umm im actually kind sad movie anyway umm ninety minutes long rated pg,0
237363_3,obviously enough research saw movie good person youre watching video youre trying research go spend umm looks like six fifty movie,0
25522_3,this year decide go exploring uhh underground caves uhh get lost due cave proceed attacked weird kind creatures,0
EO_5o9Gup6g_2,the last administration bought keynesianism much one unfortunately,0
eTn2P4wmFr4_12,but rest world dont think hurts european union much outside britain think got negligible impacts united states,0
jscKL5jS-SQ_17,and give him entire life time he not disappoint,0
1YEgMQ1xxzQ_1,the power money influence even convention thats supposed protections trade environment keeps getting beat large sums money kind industrial lobbying see often washington,0
5YnYGjrhzF4_4,it gets bad enough go see physician,0
257247_10,some kind bad,0
134252_5,uhh it lacked really kind uhh draw chick flicks might men,0
73449_14,but definitely worth time,0
72385_12,well sure enough jeep gets dropped middle desert place,0
257771_11,it wasnt good,0
233171_6,umm really disappointing uhh two five uhh know youre really big stutter fan scifi kind movies go theaters otherwise know wait maybe watch dvd later,0
270254_15,so think kinda want rest review nothing threesixties would drive guys nuts cause drove nuts,0
188122_13,hes track find father,0
EO_5o9Gup6g_4,while nice hear business tax breaks positive results tax cuts dwarfed negative effects,0
266938_8,umm they actually really good twilight zone stutter insult twilight zone terrible movie,0
273250_27,so one five traitor,0
226640_5,and uhh unless great interest subject frankly lost bit interest rather quickly uhh wasnt best movie,0
266396_59,even even stutter another thing wanted end,0
31197_2,its uhh pretty sad movie since uhh people werent expecting die fact die,0
268836_31,dont know hes good actor either,0
81538_8,which okay theyre theyre stutter great either,0
rCQYq4T8SEI_7,give even though knew hardly cared heart longer breast hands liked,0
6IUj6jyoTl0_4,called heroes people like jamie dimon head jp morgan whos paid around bilion dollars year fact villains,0
QE0pAVSPsKQ_7,its hard getting noticed if you dont make millions of dollars if you just try to tell story that means something,0
10223_8,so youre die hard fan wanna xxx want watch everything wolfs rain wolfs rain stutter uhh get wouldnt recommend,0
184784_5,umm its stutter funny first one like liked first one lot better,0
npIVLL_fTf0_12,attention seeking new biggest craze nobody sad disorder days may cut wrists pull hair,0
208322_9,its horrible terrible film stutter cant uhh recommend whatsoever,0
sFxUNO2HOKY_2,and really dont like use childs name really directed parents video,0
kh6eynD9OIk_7,im haunted sound,0
225416_15,umm as far umm special features go disc uhh thing thats umm interviews cast crew know looking special features edition go,0
88888_5,this one uhh pretty much ridiculous seems though trying make extreme possible definitely truth one scene uhh tom cruise uhh riding flames motorcycle nose wheelie stuff like,0
84140_2,one didnt love drive me crazy umm movie melissa joan hart character shes trying uhh shes trying like get popular basketball guy whatever ask,0
96194_5,it didnt work,0
245497_3,didnt really understand fighting,0
271366_34,it stutter old five years ago seriously stop,0
243338_2,vince vaughn really disappointed one,0
75RGHaxmUK8_10,so come help make sure needs taken care,0
201582_2,uhh while stutter orphanage life pretty miserable kids tease body type uhh brothers uhh religious order back believed corporal punishment got away,0
190743_5,like movie,0
188122_8,umm he finds adopted human umm takes journey meet father,0
EpadyoYlAjQ_6,kids care likely finish school live productive life,0
GMHW6XEO1ms_7,said that they were colluding with the,0
npIVLL_fTf0_3,try hide blue feelings believe true,0
5lrDS7LluCA_1,we elected president house senate lobbyists involved,0
210259_11,its stutter good im sorry words thats movie,0
216097_8,umm the special effects arent good,0
uU_3tbZ1zG8_6,while spirituality opened eyes new ways looking things help get sense self back,0
89787_15,you know complicated storyline honestly,0
46604_3,uhh its ninetyfive minutes long,0
271366_2,do go see movie,0
271366_45,so dont go see opinion,0
273531_15,hes convincing,0
k8NgVOCDYKM_9,the deal would lift sanctions almost immediately and time iran stepping aggression terror region amp beyond region,0
ZDz8Qr-sJ3E_10,but basically ask am supplied enough get need,0
UuR4Rw38v_U_1,fifth fleet based bahrain interdicted arms shipment originated iran arms clearly moving direction yemen,0
NOl0v54DaXo_3,im famous journalist,0
243341_0,expo im gonna get really insane one,0
33312_8,mean watching umm the nutty professor doctor dolittle umm stutter movie tolerable movie stutter park,0
254298_4,umm just first line movie ridiculous,0
89787_21,not whole whole lot,0
257771_12,uhh three hundred completely epic stutter want comparison three hundred ten thousand bc,0
S21ApRNQ9Ko_15,you cant sell way either going used going scratched going damaged flat stolen,0
u94VPxEIJPg_1,say im interested opinion want facts,0
wC_1M7KIv9s_11,oraline challenges other mother find three souls children parents,0
2f6ZHqJ76EU_0,payday loans become scourge across britain attacking high streets giving people idea niche form lending thats unsuitable people perfectly normal,0
fWAKek8jA5M_3,in fact go explain,0
5kaCGzjYukM_5,so call regime cease absolutely senseless attacks course violations cessation hostilities,0
210259_7,stutter everyone ive talked saw movie hated,0
29044_7,it really didnt much action,0
266396_35,and thats sad,0
pSxte-ms0t8_4,obama romney put pretty much people charge changing dangerous bloated financial sector,0
EQxkXiWAm08_5,you need know seller financing take second lien holders position deed,0
EO_5o9Gup6g_13,the glaring problem proposed stimulus package couples tax cuts spending increases makes sense already heavily indebted foreign countries,0
27798_11,its good movie movie bad,0
80866_15,which kinda sad cause really hyped movie,0
248837_6,mean dont know,0
3wHE78v9zr4_12,its time people disabilities receive fair wages,0
k8NgVOCDYKM_14,and might well spark nuclear arms race throughout middle east would greatly increase risks terrible war,0
x0rLwBIocuI_7,one minute monologue go one ten one fifteen likely youll disqualified getting part director may well say stop leave stage,0
JGZb_ygtB0g_6,elimination funding would critically limit ability provide quality volume program schedules offer viewers,0
2S00zYaVrtc_4,this always worked hard improve opportunities women underrepresented groups,0
NocexkPXja8_6,and freaked saw hit hard realization you people what really hurt finding lost,0
262165_22,it feel,0
hF6kFQPdBjY_14,it needs consistent needs expected continue need calculate ratios loan officer order determine types loan programs products available,0
110788_4,uhh this movie would give one five garbage,0
256174_11,everything romantic comedyish,0
251839_8,suppose curious see could redeem,0
88oSn21TFcA_4,now whether influx syrian refugees include potential terrorists remains seen,0
63951_12,if really really want see rent like netflix something dont pay,0
mjQfQx2K__8_25,because part world cannot possibly salt light part world never fisher men sea,0
266396_21,umm im going tell really fast thats bad like said best part movie idea,0
87161_12,it horrible,0
72385_14,but instead theyre mexico,0
244180_21,id read book instead,0
216007_2,umm im entirely convinced people made movie understood books,0
273531_17,it seems forced,0
245276_8,so umm noise finance said stutter like dungeons dragons thats good movie,0
YLA7h1RTa9w_0,something dont practice doesnt really work,0
1W38PnuWIkM_1,she witnessed fearful silence followed talking events forbidden,0
273531_9,he sees uhh like tortured stuff like,0
266938_43,if comes cable see,0
v1GKBjohgHc_3,we also know community central texas hurting particularly clients serve families,0
266396_85,and thats thats stutter completely honest,0
1YEgMQ1xxzQ_3,were going look day see lot pressure small group still make difference environment,0
qlDiE1d45Bc_17,and need change language way describe energy sources,0
229967_5,really didnt enjoy much,0
245276_11,zero five,0
SZRxuS6fn9s_3,you people appropriate dont believe forum,0
YAYfMkxhRiQ_0,employees allowed use office endorse brand product something along lines even nonprofit organization,0
nZEPf7a8GbI_4,approximately unemployed workers work least six months,0
273539_7,it doesnt really work,0
200941_5,so tv saw commercials wouldnt recommend seeing movie even didnt see commercials wouldnt really recommend movie,0
92533_9,umm id give uhh one five could,0
291121_11,would definitely recommend youve read shopaholic books absolutely go see movie havent read shopaholic books absolutely go see movie cuz stutter really awful,0
266396_64,and think well rrated theres going lot gore right theres gore,0
130426_4,umm theres neo trying save world stuff way heavy jesus references hated,0
247382_15,uhh hes done,0
TVhXqAI9gyA_14,nd well end talking people,0
C74-of1rjg4_0,my schools conservative uniform keep safe nbsp,0
79935_5,uhh really gross language,0
